hidden,title,subtitle,color,supplier_color,category,sub_category,meta_category,image_remote_url,description
true,Kith,Longsleeve Pullover Heavy Jersey,Black,Black,Sweaters,Hoodies,Mockneck Pullover Sweater,https://cdn.shopify.com/s/files/1/0094/2252/products/KH3656-100_200.progressive.jpg?v=1589222746,"KITH was founded by Ronnie Fieg, a prominent figure in the footwear industry, who has over twenty years of hands-on experience. Born and raised in Queens, Fieg has been involved with footwear since becoming a stock boy at New York-based franchise David Z. at age 12. With steadfast perseverance, he methodically rose through the ranks from floor salesman to assistant manager to eventually becoming head buyer. Conceptualizing KITH as an extension of himself, Fieg seeks to shift the current landscape of fashion, while operating under a personal philosophy of giving the consumer more than what they pay for."
true,Kith,Track Line Quarter Zip Pullover,Beige,Black Multi,Sweaters,Zipups,Quarter-Zip Colorblock Sweater,https://cdn.shopify.com/s/files/1/0094/2252/products/KH2400-100_189.progressive.jpg?v=1589222749,"KITH was founded by Ronnie Fieg, a prominent figure in the footwear industry, who has over twenty years of hands-on experience. Born and raised in Queens, Fieg has been involved with footwear since becoming a stock boy at New York-based franchise David Z. at age 12. With steadfast perseverance, he methodically rose through the ranks from floor salesman to assistant manager to eventually becoming head buyer. Conceptualizing KITH as an extension of himself, Fieg seeks to shift the current landscape of fashion, while operating under a personal philosophy of giving the consumer more than what they pay for."
true,Kith,Haori Zip-Up Hoodie,Black,Black / Cream,Sweaters,Hoodies,Colorblock Pullover Hoodie,https://cdn.shopify.com/s/files/1/0094/2252/products/KH2401-100_218.progressive.jpg?v=1589222742,"KITH was founded by Ronnie Fieg, a prominent figure in the footwear industry, who has over twenty years of hands-on experience. Born and raised in Queens, Fieg has been involved with footwear since becoming a stock boy at New York-based franchise David Z. at age 12. With steadfast perseverance, he methodically rose through the ranks from floor salesman to assistant manager to eventually becoming head buyer. Conceptualizing KITH as an extension of himself, Fieg seeks to shift the current landscape of fashion, while operating under a personal philosophy of giving the consumer more than what they pay for."
true,Kith,Military Sateen Field Pant,Beige,Olive,Bottoms,Trousers,Nylon Trouser,https://cdn.shopify.com/s/files/1/0094/2252/products/KH6292-106_111.progressive.jpg?v=1589222743,"KITH was founded by Ronnie Fieg, a prominent figure in the footwear industry, who has over twenty years of hands-on experience. Born and raised in Queens, Fieg has been involved with footwear since becoming a stock boy at New York-based franchise David Z. at age 12. With steadfast perseverance, he methodically rose through the ranks from floor salesman to assistant manager to eventually becoming head buyer. Conceptualizing KITH as an extension of himself, Fieg seeks to shift the current landscape of fashion, while operating under a personal philosophy of giving the consumer more than what they pay for."
true,Kith,Nylon Kimono Blazer,Black,Black,Jackets & Coats,Jackets,Kimono Jacket,https://cdn.shopify.com/s/files/1/0094/2252/products/KH1219-100_195.progressive.jpg?v=1589222745,"KITH was founded by Ronnie Fieg, a prominent figure in the footwear industry, who has over twenty years of hands-on experience. Born and raised in Queens, Fieg has been involved with footwear since becoming a stock boy at New York-based franchise David Z. at age 12. With steadfast perseverance, he methodically rose through the ranks from floor salesman to assistant manager to eventually becoming head buyer. Conceptualizing KITH as an extension of himself, Fieg seeks to shift the current landscape of fashion, while operating under a personal philosophy of giving the consumer more than what they pay for."
true,Kith,Nylon Kimono Blazer,Navy,Navy,Jackets & Coats,Jackets,Kimono Jacket,https://cdn.shopify.com/s/files/1/0094/2252/products/KH1219-102_204.progressive.jpg?v=1589222745,"KITH was founded by Ronnie Fieg, a prominent figure in the footwear industry, who has over twenty years of hands-on experience. Born and raised in Queens, Fieg has been involved with footwear since becoming a stock boy at New York-based franchise David Z. at age 12. With steadfast perseverance, he methodically rose through the ranks from floor salesman to assistant manager to eventually becoming head buyer. Conceptualizing KITH as an extension of himself, Fieg seeks to shift the current landscape of fashion, while operating under a personal philosophy of giving the consumer more than what they pay for."
true,Kith x Ksubi,Oh G Jacket Reversible,Denim,Polar,Jackets & Coats,Denim Jackets,Denim Jacket,https://cdn.shopify.com/s/files/1/0094/2252/products/KS5000004961_104.progressive.jpg?v=1589222597,
true,ADD,ADDITUDE No.2 AVANTGARDE T-SHIRT,White,White,Tops,T-Shirts,Graphic T-Shirt,,
true,ADD,SPLASH AVANTGARDE T-SHIRT,Black,Black,Tops,T-Shirts,Graphic T-Shirt,,
true,ADD,GRAFFITI LONGSLEEVE TEE,White,White,Tops,T-Shirts,Graphic T-Shirt,,
